epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,5808.94,0.15818,0.17171,0.88096,0.99984,1,0.995,0.995,0.0563,0.06367,0.79214,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,5865.79,0.16185,0.17242,0.88051,0.99977,1,0.995,0.995,0.05899,0.06599,0.7922,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,5922.41,0.15576,0.17102,0.88056,0.99972,1,0.995,0.995,0.05805,0.06547,0.79203,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,5978.54,0.15679,0.16869,0.88111,0.99973,1,0.995,0.995,0.05768,0.06327,0.79188,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,6033.81,0.15707,0.16947,0.88158,0.99977,1,0.995,0.995,0.05814,0.05753,0.79187,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,6089.36,0.15469,0.16935,0.88008,0.99973,1,0.995,0.995,0.05643,0.05729,0.79169,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,6146,0.15556,0.16998,0.87828,0.99966,1,0.995,0.995,0.05471,0.05839,0.79158,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,6204.26,0.15373,0.1666,0.88046,0.9997,1,0.995,0.995,0.05442,0.05651,0.7917,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,6265.92,0.15396,0.1662,0.88099,0.99978,1,0.995,0.995,0.05399,0.05476,0.7915,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,6326.39,0.15524,0.16997,0.87986,0.99966,1,0.995,0.995,0.0535,0.05483,0.79144,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,6384.24,0.15373,0.1675,0.88273,0.99974,1,0.995,0.995,0.0527,0.0533,0.79134,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,6444.23,0.15191,0.1632,0.88033,0.99972,1,0.995,0.995,0.05275,0.0555,0.7913,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,6506.22,0.15132,0.16575,0.87884,0.99973,1,0.995,0.995,0.05293,0.05457,0.79126,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,6567.39,0.15202,0.16576,0.88007,0.99969,1,0.995,0.995,0.0533,0.05431,0.79128,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,6623.29,0.1514,0.16405,0.88046,0.9997,1,0.995,0.995,0.05309,0.05303,0.79116,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,6680.38,0.15004,0.16408,0.87967,0.99966,1,0.995,0.995,0.05197,0.05338,0.79105,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,6736.19,0.14822,0.16224,0.87947,0.99952,1,0.995,0.995,0.05134,0.06227,0.79113,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,6788.69,0.14937,0.16295,0.88021,0.99969,1,0.995,0.995,0.05146,0.05294,0.79114,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,6841.43,0.15045,0.15995,0.8795,0.99971,1,0.995,0.995,0.05166,0.05118,0.79106,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,6897.95,0.14554,0.15586,0.87704,0.99963,1,0.995,0.995,0.05184,0.05119,0.79101,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,6947.52,0.14581,0.15972,0.87866,0.99962,1,0.995,0.995,0.05162,0.05268,0.79102,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,7004.37,0.14645,0.15844,0.87821,0.99964,1,0.995,0.995,0.05165,0.05403,0.79105,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,7061.23,0.1439,0.15653,0.88011,0.99968,1,0.995,0.995,0.05115,0.05551,0.79102,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,7117.87,0.14628,0.15643,0.87983,0.99964,1,0.995,0.995,0.05076,0.05778,0.79112,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,7170.8,0.14409,0.15741,0.87843,0.99955,1,0.995,0.995,0.05215,0.06739,0.79128,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,7227.48,0.14237,0.15363,0.87859,0.99964,1,0.995,0.995,0.05209,0.06136,0.79117,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,7280.79,0.14457,0.15446,0.87834,0.99964,1,0.995,0.995,0.05202,0.05551,0.79121,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,7337.12,0.14265,0.15274,0.87892,0.99964,1,0.995,0.995,0.05171,0.05564,0.79124,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,7393.81,0.14287,0.15442,0.8796,0.99964,1,0.995,0.995,0.051,0.05856,0.79112,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,7450.5,0.14109,0.15021,0.87886,0.99962,1,0.995,0.995,0.05071,0.05954,0.79115,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,7507.22,0.13952,0.15216,0.87498,0.99962,1,0.995,0.995,0.05026,0.05886,0.79115,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,7557.82,0.14119,0.15038,0.87706,0.9996,1,0.995,0.995,0.05002,0.05677,0.79114,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,7613.29,0.14113,0.15187,0.87772,0.99959,1,0.995,0.995,0.04997,0.05364,0.79119,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
135,7673.51,0.13782,0.1504,0.87798,0.99962,1,0.995,0.995,0.04951,0.05147,0.79121,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
